country_code,country_name,year,population,net_migration,gdp_per_capita,life_expectancy,fertility_rate,region,income_level,capital,migration_rate,migration_type,pop_growth,gdp_category
ABW,Aruba,2016,108727,405.0,27441.5502144601,75.54,1.848,Latin America & Caribbean,High income,Oranjestad,3.7249257314190585,Net Immigration,,High Income
ABW,Aruba,2017,108735,434.0,28440.0416881491,75.62,1.785,Latin America & Caribbean,High income,Oranjestad,3.9913551294431415,Net Immigration,0.007357877987979045,High Income
ABW,Aruba,2018,108908,431.0,30082.1584226798,75.88,1.732,Latin America & Caribbean,High income,Oranjestad,3.9574686891688398,Net Immigration,0.15910240492942318,High Income
ABW,Aruba,2019,109203,420.0,30645.8906024548,76.019,1.701,Latin America & Caribbean,High income,Oranjestad,3.8460481854894097,Net Immigration,0.2708708267528559,High Income
ABW,Aruba,2020,108587,0.0,22759.8071750722,75.406,1.662,Latin America & Caribbean,High income,Oranjestad,0.0,Net Emigration,-0.5640870672051101,High Income
ABW,Aruba,2021,107700,503.0,26749.3296093118,73.655,1.631,Latin America & Caribbean,High income,Oranjestad,4.670380687093779,Net Immigration,-0.8168565297871799,High Income
ABW,Aruba,2022,107310,152.0,30975.9989121779,76.226,1.615,Latin America & Caribbean,High income,Oranjestad,1.4164569937564069,Net Immigration,-0.36211699164345745,High Income
ABW,Aruba,2023,107359,147.0,35718.7531191634,76.353,1.602,Latin America & Caribbean,High income,Oranjestad,1.3692377909630307,Net Immigration,0.04566210045662267,High Income
ABW,Aruba,2024,107995,141.0,39498.5941293797,76.353,1.602,Latin America & Caribbean,High income,Oranjestad,1.3056160007407749,Net Immigration,0.5924049218044125,High Income
AFG,Afghanistan,2016,34700612,-143049.0,522.082215583898,62.646,5.542,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,-4.122376861825953,Net Emigration,,Low Income
AFG,Afghanistan,2017,35688935,-71491.0,525.469770891619,62.406,5.433,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,-2.0031698900513564,Net Emigration,2.848142851198121,Low Income
AFG,Afghanistan,2018,36743039,-36753.0,491.337221382603,62.443,5.327,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,-1.0002710989692498,Net Emigration,2.9535877156323,Low Income
AFG,Afghanistan,2019,37856121,9159.0,496.6025042585,62.941,5.238,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,0.24194237967487478,Net Immigration,3.0293683655290504,Low Income
AFG,Afghanistan,2020,39068979,143634.0,510.787063366811,61.454,5.145,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,3.6764206200525487,Net Immigration,3.2038623291593904,Low Income
AFG,Afghanistan,2021,40000412,-548784.0,356.496214115892,60.417,5.039,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,-13.719458689575498,Net Emigration,2.384073051921831,Low Income
AFG,Afghanistan,2022,40578842,-647402.0,357.261152798144,65.617,4.932,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,-15.954176316810617,Net Emigration,1.4460601055809041,Low Income
AFG,Afghanistan,2023,41454761,-48958.0,413.757894705303,66.035,4.84,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,-1.1809982452920185,Net Emigration,2.158560857897318,Low Income
AFG,Afghanistan,2024,42647492,-44089.0,413.757894705303,66.035,4.84,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,-1.0338005339211975,Net Emigration,2.8771870135736677,Low Income
AGO,Angola,2016,29183070,91614.0,2051.81462126253,61.619,5.686,Sub-Saharan Africa,Lower middle income,Luanda,3.1392858941845394,Net Immigration,,Lower Middle
AGO,Angola,2017,30234839,77731.0,2790.71886869768,62.122,5.6,Sub-Saharan Africa,Lower middle income,Luanda,2.5709083484783894,Net Immigration,3.604038231755613,Lower Middle
AGO,Angola,2018,31297155,61632.0,2860.0936483682,62.622,5.519,Sub-Saharan Africa,Lower middle income,Luanda,1.969252476782634,Net Immigration,3.5135493858591493,Lower Middle
AGO,Angola,2019,32375632,58984.0,2493.67884440177,63.051,5.442,Sub-Saharan Africa,Lower middle income,Luanda,1.8218640488624283,Net Immigration,3.4459266345455264,Lower Middle
AGO,Angola,2020,33451132,7556.0,1759.35619918264,63.116,5.371,Sub-Saharan Africa,Lower middle income,Luanda,0.2258817429556644,Net Immigration,3.3219428735784984,Lower Middle
AGO,Angola,2021,34532429,29094.0,2303.90812662776,62.958,5.304,Sub-Saharan Africa,Lower middle income,Luanda,0.8425124105807906,Net Immigration,3.232467588839749,Lower Middle
AGO,Angola,2022,35635029,-995.0,3682.1131513698,64.246,5.209,Sub-Saharan Africa,Lower middle income,Luanda,-0.02792196408763972,Net Emigration,3.1929407572227175,Lower Middle
